ファイル名,黒,白,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400
1509167227010001840.sgf,æ˜Žæœˆæ?¾é–“,luo64,0.005,0.049,0.117,0,0.062,0,0.16,0,1.41,1.761,1.467,1.259,2.734,1.754,2.447,0,0,2.343,6.129,4.925,0,1.745,0.359,1.106,1.55,2.784,3.828,7.551,0,6.118,2.455,3.793,6.993,0.941,4.834,0.139,0,3.143,0.926,2.299,3.306,0.712,0,2.874,3.952,4.793,5.511,3.211,0,1.783,2.257,0.235,0.457,0.716,1.408,1.102,2.836,3.03,3.447,0,1.755,1.105,0,1.922,6.338,6.006,0,0,0,0,2.524,4.372,0,0.602,2.94,3.505,4.224,1.389,3.265,4.158,6.123,6.478,3.122,6.652,5.801,5.472,0,2.447,2.62,5.983,11.296,0,0,2.869,0,0,2.312,0.962,6.141,5.73,4.536,1.667,4.062,5.925,4.45,8.84,8.178,6.742,0,2.6,0,4.42,5.76,0,1.601,0,3.169,3.266,7.985,7.499,5.628,7.738,8.382,6.557,7.066,3.323,9.489,9.009,6.565,6.86,2.917,2.983,0,6.136,6.566,8.348,8.597,2.23,0.19,0,21.608,0,5.312,0,4.103,0,8.278,6.212,15.754,2.817,3.613,10.395,11.148,14.49,0.711,0,6.741,2.639,1.884,0,0.838,0,22.747,6.711,4.856,7.794,9.397,6.683,9.31,27.077,26.423,9.689,15.228,2.477,9.01,0,0,6.679,1.878,4.775,12.607,18.066,3.716,0,11.599,7.374,1.976,0,8.477,0,2.628,0,4.255,4.574,4.468,0,1.216,2.816,1.48,0.785,0.848,0,6.71,6.049,5.837,7.074,7.134,6.566,8.737,9.979,2.294,0,0.296,0,0.873,0,0,0,3.354,0,8.836,7.061,0,0,2.085,0.37,0,0.62,0,2.484,0,3.818,5.957,0,0,0,0,0.631,0.573,0,0,0.372,0,0,0,0,0.451,0,0,3.663,4.663,1.362,1.717,3.507,3.599,5.569,0.144,15.225,19.549,0,1.244,1.334,0.291,0,0.067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510400150010001017.sgf,å·´å°–,å°?å¥‡å“¥,0.006,0,0,0,0.333,0.05,0.369,0.29,0,0,0,0,1.057,1.598,0.755,0,0.359,1.894,0,0.295,3.757,0,0.24,0.628,0.283,0,0.353,0.051,0.839,2.835,1.185,0.042,0.072,0,4.378,0,1.743,4.912,1.246,1.863,0,5.299,3.898,1.029,2.6,1.089,0.813,0,0.82,0,1.519,0.26,0,1.475,0,2.295,3.497,0.197,0.87,3.875,0,0,0.155,3.309,0,2.476,0,0,1.346,2.366,3.616,0,6.289,0,0,0,0,0,0,0,8.48,0,0,3.6,4.473,0,1.474,1.08,0,8.474,3.741,0.024,3.527,13.653,13.701,8.967,8.755,3.54,0.905,3.009,0.321,0,0.317,0,6.991,0.181,1.452,0.504,0,8.249,10.942,0,0,1.986,1.204,23.997,0,6.18,10.405,0,1.411,4.069,1.828,0,0.239,0.105,0.085,1.337,2.744,3.803,3.098,4.821,2.342,3.084,5.972,5.483,4.293,1.327,2.599,1.486,4.113,0.472,3.825,0,3.296,0,0,0,6.184,6.823,6.891,4.819,4.714,3.959,11.211,6.768,6.897,6.976,10.424,3.621,5.699,1.45,0,1.269,4.807,0,15.596,18.585,18.528,3.545,3.713,5.034,19.995,15.488,16.989,18.661,15.833,11.775,5.498,7.592,22.607,22.725,2.134,2.085,0.993,0,1.108,7.236,32.112,25.997,25.749,24.93,26.543,18.143,0,2.573,2.181,3.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499104761029021617.sgf,é­?ä¸œ,å¿«ä¹?äººç”Ÿ,0.001,0.051,0.114,0.111,0.185,0.162,0,0.345,0.718,0.212,0.109,0.796,0.295,0.351,1.449,0,3.288,0,2.475,2.537,0,4.204,0,0,0,0,0.206,2.348,1.463,0,0,1.445,0.682,0.613,0.477,0,1.329,1.259,0.925,0.191,0.469,0.98,0,0,0,0,0.587,0,2.215,0.169,1.311,0,2.043,0,0.033,0,0,0.606,0,7.633,5.631,2.149,0,8.156,7.619,4.127,1.984,4.617,0,3.411,5.071,0,0.786,0.555,6.346,3.762,4.722,4.641,0,3.199,4.543,0,7.146,0,1.429,0,0.623,0.812,0.826,1.298,3.401,0.451,2.478,0,6.634,3.19,1.737,9.186,10.534,5.003,11.479,0.646,0.382,0,0,4.053,1.279,0,0.709,0,0.967,4.187,2.53,0,1.885,1.748,0,0.995,17.036,0,0,0,0,8.552,2.116,0,1.271,0,1.961,5.799,18.342,0,0,0,1.206,0,5.348,0,0.936,0,0.544,0,0,0,0,0,2.269,0,3.285,0,1.503,0.933,2.547,7.573,10.849,10.876,5.828,10.654,8.536,3.476,10.988,0,16.681,18.41,19.916,14.278,0.051,2.84,0.097,84.118,83.793,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496020814019999088.sgf,æˆ‘æ˜¯è°?11,é›ªåœ°é£žç‹¼,0.004,0,0.16,0.104,0.374,0.655,0.532,0.98,0.233,0.636,2.68,0,0,0,0.475,3.324,0,0.45,1.147,0,0.692,1.666,1.172,1.743,0.765,1.955,1.95,0.791,0.977,3.429,4.251,7.319,3.884,9.078,4.956,1.445,0,3.504,6.839,2.888,4.959,2.752,3.133,3.809,4.173,3.472,5.597,2.395,1.679,0,1.354,1.96,1.968,4.365,4.097,2.277,1.359,3.489,0,3.117,0,1.472,0.012,0.576,3.323,4.472,1.791,3.039,1.628,3.23,0,2.321,4.163,0,0.002,1.968,6.617,2.88,4.485,3.133,5.964,20.577,3.601,8.065,9.966,0,2.273,0,0,0,10.217,10.989,12.559,3.49,0,18.34,19.604,8.623,5.018,6.218,0.305,13.663,12.602,11.66,12.859,7.283,0,2.846,0,0,0,12.093,9.462,14.674,11.653,17.368,18.986,5.345,5.458,10.428,0,20.991,13.861,17.545,10.028,8.159,4.901,6.11,10.348,7.129,14.092,9.065,11.16,3.548,5.543,0,16.206,19.585,18.628,26.258,28.307,34.262,39.676,1.732,5.439,6.397,4.989,7.549,8.777,3.742,0.485,12.972,8.763,0,3.051,0,6.436,6.008,3.652,0,0,0,0,0,4.863,25.163,0,22.379,22.125,76.266,0,3.409,0,1.634,3.741,6.922,5.355,0,11.667,14.343,4.736,0.421,0,1.83,0,5.178,3.826,6.123,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516685647010001783.sgf,æ€?æ¢¦111,å¿ƒæ¾„,0.002,0,0.139,0,0.253,0.44,0.548,0.25,0,0,0,0,0,0,0.261,0,2.863,1.143,0,0,4.354,1.764,0,0.377,3.187,2.901,1.02,2.347,3.603,6.744,1.101,0.243,1.018,2.105,1.213,0.276,0.429,0,1.143,1.049,0.428,0.712,1.357,0.269,0,1.754,2.482,0,0.738,0.69,1.903,2.006,1.348,0,5.194,2.25,0.63,0,0.046,4.142,6.03,0,0.572,0.956,2.302,2.691,0,0.427,0,1.743,0.632,1.326,0.359,0.356,0,3.854,0,3.181,0,0,8.584,0.95,0,0.232,0,3.177,0,0.891,0.832,2.048,6.884,8.579,0,0,0,6.534,6.759,6.56,7.552,0,0,0,0,0,0.673,1.212,0,5.699,6.736,0,3.753,0,5.643,2.098,4.88,4.962,3.205,6.153,0.291,0,3.849,5.475,1.869,0,8.513,0,2.635,0,5.043,6.402,1.839,0,3.696,0,5.543,6.365,4.315,8.689,9.453,7.849,6.847,1.801,0,0.158,0,1.304,20.031,0,1.662,0,0.236,0,4.421,6.306,2.299,3.01,13.466,11.685,11.03,9.172,6.916,8.705,7.55,10.215,8.322,11.654,11.225,5.358,3.296,0.073,4.553,0,6.126,0,5.864,0,21.111,22.974,35.495,35.668,39.378,31.935,22.787,19.663,16.05,11.978,12.108,14.619,21.477,17.09,45.907,43.603,43.792,39.254,40.871,56.065,56.542,54.354,54.116,54.509,4.053,2.361,60.43,0.954,1.104,0,3.528,5.1,3.773,4.756,4.78,5.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504431735019999893.sgf,æ±Ÿæ¹–ä¾ ,å?—æµ·åŒº,0,0.033,0.141,0.961,0.651,1.915,0,1.889,0,0.304,0.245,0.386,0.221,1.004,0.896,0.879,1.315,2.635,0,2.852,0.558,0.402,0.129,0.452,1.431,1.192,1.628,4.226,0,0.812,1.955,0.67,1.646,0,0.39,1.491,4.244,4.356,5.056,0.906,5.28,1.851,3.631,3.554,2.378,5.502,5.654,3.376,7.089,4.776,4.172,6.618,7.051,4.553,3.446,4.27,6.417,9.539,9.579,7.824,8.853,6.678,4.238,1,2.009,3.182,5.626,3.803,6,4.649,1.82,2.459,1.584,2.971,6.692,3.033,6.937,0,15.255,0,8.92,6.378,7.888,9.265,10.683,9.778,0,6.909,8.938,0.682,0,3.827,13.106,6.16,7.194,3.922,0,6.217,0,21.122,42.497,54.899,56.445,20.645,17.932,56.542,0,0,0,0,0,2.353,0,6.184,3.135,3.242,0.318,2.649,0,1.327,5.131,0,0.061,0.821,0,2.235,1.968,1.744,2.86,0,0.338,0,5.643,1.002,1.714,0,0.119,1.061,1.007,3.657,0,0.57,1.313,1.403,0,2.949,1.223,1.087,2.265,1.814,2.452,2.478,1.754,2.259,2.575,6.325,6.032,4.671,4.736,4.81,4.835,0,4.598,1.22,7.739,1.724,10.153,7.059,2.17,0,0.14,0,2.178,0,0.782,0,4.656,5.13,0.557,1.234,1.008,0.67,0.917,5.036,4.876,0,0,0,15.404,0,39.893,0,1.593,1.083,0.657,0,0.379,0.661,0.456,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494419203019999864.sgf,é—²æ?¥å?¬é›¨01,é‡‘ç¦?,0.004,0,0,0.108,0.159,0.344,1.561,0.413,0,1.195,1.388,0.632,0,0.165,0,0.117,0.711,0,0.503,0,2.538,0.678,1.286,0.79,1.014,0,2.418,5.538,0,1.696,0,0,0,0,5.795,0,0,0,1.221,4.899,2.946,5.835,0.831,0.618,0.768,0.975,1.257,1.307,0.136,0.439,0,0.859,2.057,1.398,1.638,0,0.315,1.63,0,0.822,0.526,6.775,0,4.51,0,2.246,5.44,5.265,0.044,0.585,0.517,0.147,4.392,4.887,5.098,4.326,4.258,5.14,5.105,4.652,0.057,2.478,1.731,1.714,0,2.251,0.85,3.237,2.974,4.672,2.509,5.868,7.37,0.34,0,4.913,0,7.104,5.491,5.878,2.139,8.442,0,3.292,8.35,4.218,15.822,14.794,4.983,0,2.14,4.518,4.144,4.328,6.845,0.918,1.897,4.605,4.076,0,1.766,6.909,0,1.598,0,0,6.522,0.994,0,0.145,0,0,10.332,4.194,0,0.567,0,0,0,3.493,2.343,3.522,1.736,0,0,1.871,7.913,5.46,1.508,0.168,0,3.012,3.322,5.202,2.212,4.602,3.904,3.795,2.341,0.367,1.061,1.565,7.137,0.901,4.813,0.408,0,7.68,4.501,1.725,3.2,0,0.926,7.889,5.709,0,7.02,0,0,0.738,4.482,9.525,8.187,7.946,2.847,3.603,9.167,6.663,6.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489229127029065320.sgf,å¤©å¤©å?‘é˜³,å¿ƒé?™,0.122,0.091,0.111,0.043,0.035,0,0.142,0.128,0.638,0,0.656,2.47,0,3.051,0,0.544,4.449,0.963,0.585,1.24,2.673,3.621,0,0.089,0,2.323,1.923,2.275,1.725,2.012,2.769,1.373,1.547,2.164,1.898,1.053,0.733,0.315,1.984,0,1.359,0.763,1.061,0,1.465,2.789,1.71,1.866,3.061,2.407,2.47,3.338,3.856,2.192,1.174,2.011,0.515,8.007,0,0,3.22,0,0,1.673,4.357,0,2.854,1.133,2.044,3.065,1.729,2.167,1.089,1.443,2.607,3.013,1.575,4.545,0,9.135,4.403,3.208,0.473,4.895,7.657,2.422,6.751,4.425,12.254,15.179,0,8.444,4.481,6.606,0.954,0.977,0,13.005,0,2.856,0,10.325,0,10.075,2.742,6.893,6.436,3.374,8.598,0,4.852,0,0,0,0,0,0,1.894,0,1.141,11.137,15.738,7.984,4.307,14.442,16.615,15.139,14.502,0,8.59,6.228,6.415,11.125,9.064,8.361,5.599,6.283,5.861,12.217,4.737,4.869,19.481,5.841,5.518,12.872,10.792,10.891,12.418,9.227,9.933,3.485,5.693,6.43,4.424,0,3.503,0.794,3.482,2.787,0.726,0,7.385,0.978,2.471,0,5.386,0,6.379,6.385,3.445,0,21.409,17.752,18.221,17.361,5.434,5.841,11.571,1.105,3.666,9.062,0,0.327,6.349,7.001,3.328,0.308,5.613,0.737,0,10.11,7.432,14.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516286992010001619.sgf,zj764,å…‹ç–?,0.007,0.183,0.057,0.07,0.78,1.042,0.404,0,0,0,0.584,0.657,0.59,0,0.226,0,1.123,1.471,2.049,0,1.471,0,0,0,0,0,0,0,0,1.985,0.918,0.561,1.331,3.036,0.797,0.926,0.895,1.155,0.337,0,2.098,0,0.783,0.218,1.455,0.642,0,0.002,3.311,0,1.919,4.773,2.952,3.237,7.291,1.307,2.713,0,2.515,2.385,5.76,0,5.961,6.027,6.762,0,1.128,7.356,0,1.73,6.098,5.813,3.59,1.069,1.814,0,19.249,0,2.064,2.433,3.592,1.444,1.531,2.389,4.388,4.355,5.722,6.123,0.739,1.347,1.975,2.234,0,1.271,0,4.232,0,0,0,0.535,0,2.465,1.595,3.098,0,2.829,1.193,2.873,2.313,1.336,2.144,4.783,2.384,3.035,1.272,3.079,3.424,6.909,4.019,5.349,0,1.662,0.336,9.386,8.146,3.881,0.752,6.963,3.225,4.322,8.388,0,2.315,4.82,5.315,4.236,5.874,6.293,10.743,6.604,5.677,6.424,5.979,6.895,6.144,4.747,9.225,8.418,6.732,8.76,5.767,4.666,6.672,2.479,2.005,2.456,4.275,0,0,2.18,2.177,1.528,0,2.765,3.695,2.609,4.043,1.934,1.307,0.708,0,5.874,4.508,5.142,4.286,4.647,3.261,3.849,0.147,0,3.392,5.992,4.421,5.243,4.953,5.005,7.296,2.547,2.299,3.256,3.395,10.709,0,0.064,0.475,4.793,2.782,2.305,11.864,6.924,0,4.814,4.805,4.001,4.893,4.592,3.526,1.532,4.021,0.344,0,0.226,0,0.345,0,3.747,3.226,2.643,0.629,0.747,1.161,3.234,0,1.514,0,2.409,1.906,1.924,3.696,4.108,2.239,1.561,0,0.469,17.917,0,0.027,0,0.37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495124558019999597.sgf,è‚šå­?ä¸€åœˆè‚‰,æ?¾æ±Ÿé±¼,0,0,0.117,0.121,0.31,0.348,0,0.084,0.254,0.34,1.746,1.844,0,0,0.674,0.62,0.294,0.669,1.01,0.549,0.99,1.887,0,0.921,0,0,5.454,5.826,0.629,5.279,1.679,0.387,1.673,1.337,0,1.861,0,5.485,5.809,8.446,0,1.772,7.927,1.482,0.632,1.791,0.354,3.147,1.105,3.513,1.986,1.078,1.805,0,1.013,5.14,0,0.919,1.684,1.323,2.273,1.154,2.316,3.582,4.048,1.653,1.319,1.186,2.835,1.266,4.315,7.737,4.677,0.436,0,0,0.297,0,3.314,0,2.131,0,9.007,0,3.407,1.928,1.791,2.958,4.391,6.613,8.426,16.402,5.47,10.437,7.51,13.414,6.339,10.624,14.586,8.99,7.046,14.115,11.706,11.136,9.635,0.918,31.696,31.462,0,1.481,6.77,0,5.975,0,7.984,1.201,0.189,0.719,0,10.391,0,3.901,6.812,0.709,0,3.57,3.505,0,8.038,10.532,14.342,14.413,8.157,2.452,1.662,2.265,4.487,9.856,0,0.196,0,1.289,0.148,0.851,18.654,18.601,0,19.412,0,5.304,0,2.173,0,7.06,38.918,0,0.74,0.116,0,0,0,0,0,0,0.243,0,0.797,0,1.161,1.257,2.826,2.497,3.74,2.353,0.184,2.087,3.598,1.442,0.932,2.511,0,4.516,4.867,4.011,2.693,7.374,6.765,0.131,0.076,1.335,3.527,2.692,3.151,3.048,1.081,0,0,0,0,1.186,0,1.111,0,0.145,0,0.634,0.764,0.786,0.644,0.676,1.68,2.14,1.935,2.795,2.803,2.105,2.029,0.425,0.787,0.017,0,0.194,1.903,1.38,0,0.007,0.106,3.338,3.22,0.101,0.139,0.183,0,1.358,0.784,0.249,0,0,0,0.532,0.078,0,0.855,0.481,0.52,0.393,0.349,0,0.68,0.663,0.772,1.104,0.077,0.008,0.007,0.095,0.07,0,0.032,0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
