ファイル名,黒,白,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400
1516974239022100956.sgf,é˜¿ç¦?770932,å¤§é¬¼å“ˆå“ˆ,0.014,0.146,0.031,0,0.508,0.139,0.33,0.569,0,0.232,0.195,0.223,0.423,0,0.686,1.286,0.235,0.512,0,7.696,0,4.776,7.733,0,0,0,0,0.385,3.573,0.989,2.009,6.5,0,0.237,2.188,0,0.44,0,3.352,3.64,4.504,1.134,1.355,1.296,8.346,0,0,0,11.658,0,0.729,0,6.588,0,0.328,0,1.737,1.375,2.047,0,4.869,10.476,11.862,10.748,10.779,11.837,1.863,0.778,0,0,0,5.347,0,1.192,0,0,0,6.792,0,0,2.577,3.464,0.843,0.341,0,0.534,3.348,0,2.984,0,4.001,3.931,0,0,0,0,5.195,2.37,0.67,0,3.116,2.853,0,0,0.953,0,1.56,4.551,0,0.918,3.186,0,0,1.819,0.477,0.212,1.066,1.672,0,0.088,5.159,9.005,7.637,4.981,10.309,0.34,0,12.626,9.182,5.254,0.552,0,4.095,7.523,13.584,3.62,1.032,0,0,8.637,3.944,2.41,0,12.701,0,0,55.243,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501221735029028125.sgf,å??å…«æ‰¯,é˜¿è¿ª,0.007,0.046,0,0,0.848,0.704,0.104,0,0,0.222,0,0.29,0,0,0,0,0,0,0.1,0.598,1.05,0.414,1.661,0,1.014,1.113,0.897,0.489,2.376,0,1.975,1.263,2.724,0,0,1.316,3.886,1.334,3.437,0.836,0,0,2.769,1.221,0,1.005,0,0,3.149,0.697,0,0.24,0,2.241,3.768,0,1.855,0,4.256,4.517,5.166,5.086,1.948,0,3.532,1.122,2.195,0.332,0,0.818,0,0,6.821,0,0,0.82,2.372,0,2.662,2.573,0.379,0,1.066,0,2.45,0,0.362,2.224,0.589,0.897,3.451,4.818,1.548,0.969,1.359,0,2.156,0,1.576,2.057,2.72,1.76,2.475,1.334,0,3.023,3.215,0,2.416,0,3.389,0,2.092,1.884,5.78,0,15.333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506353974010001810.sgf,ä¸?ä¸?1969,æ™¨å?¤é›…AA,0,0.046,0.105,0,0.162,0.152,0.367,0.221,0.066,0.124,0.482,0.691,0.129,0,0,1.13,0,0,0,0,0,0,0.13,0,1.067,0,0,0.077,0,0,0,0.201,1.044,0.363,3.31,2.457,3.789,0,1.363,0,0,0,0,0,0,1.711,4.456,0.205,0,0,2.281,0,5.993,0,2.813,0,22.578,11.334,0,0,0,0,2.715,0,2.428,3.833,4.03,0,0,0,1.876,2.183,2.115,0,0,2.179,0,0,0,5.018,6.914,5.262,0,2.378,0,1.819,3.412,0,3.525,3.495,0.351,8.51,6.803,18.623,0,9.117,0,12.369,1.784,8.999,7.296,10.175,0,2.215,3.943,12.902,14.034,0.248,1.688,11.922,0,0.242,17.274,0,0,5.577,0,17.358,1.117,0,4.599,3.561,2.112,0.999,0,3.136,0,0,1.501,0.414,1.096,4.692,0,2.916,4.019,5.544,0,4.286,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497260623019999753.sgf,æ„?æ°”é£Žå?‘,è?‰å ‚ç¿?,0,0.044,0.112,0,0.182,0.279,0.203,0,0.17,0.593,0.608,0,0.681,0.253,0.383,0.729,0.504,0,2.76,0,2.822,3.112,0.398,0,0,0,0,2.332,0.137,0.892,0.195,0,0,0,0,0.678,0,0.773,0.386,3.031,0,2.707,3.243,0.837,0,0.129,0,0,1.767,0.939,1.322,0.227,0.422,0.639,1.627,0,0,0.289,1.829,0,1.49,1.714,0,0,2.264,0.344,0,0,0,0,0,0,0,1.162,0,0.274,1.307,0.274,0,4.141,0.091,0,2.049,5.154,1.042,0.378,0,0,1.033,0,0.475,0.676,0,0.991,2.815,0.836,3.675,3.084,0.094,0,0.88,0.713,0,1.31,3.401,5.976,0,0,0.849,0,1.704,0,2.852,2.597,0.642,3.011,3.769,0,0.049,0,7.62,10.096,0.341,0,2.041,2.481,1.734,1.274,0.84,0,0,2.977,4.709,3.79,0.487,1.871,6.25,0,1.474,0,0.219,5.705,4.955,5.192,8.465,4.905,6.377,5.179,5.545,0,0,2.906,3.002,2.407,2.071,1.404,0,2.649,0,0,2.322,2.555,0.781,0,0,0.66,0,0.891,1.65,2.404,1.922,2.292,0.288,0.271,0.927,1.022,1.77,0.172,0.521,2.291,2.091,1.833,1.72,0,12.402,0,0,0,5.206,3.061,3.148,2.425,0,3.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508211418010001594.sgf,0088662211,è§„åˆ’å±€çš„å??,0,0.158,0.04,0,0.161,0.343,0,0,0,0,0.586,0.669,0,0.714,7.605,0,0,0,3.369,0,0,2.879,0.978,0,1.966,0,2.372,2.022,0.798,0,1.055,0.804,0,2.902,0,1.214,1.743,0,1.218,0,0,0,0.527,0,1.694,0,2.666,1.673,4.78,0.778,1.267,2.983,2.346,4.071,2.072,2.088,2,0.623,0.312,2.415,0,0,0.231,0.468,2.701,0,2.455,0,3.02,4.21,0.197,1.373,0.898,0.484,3.337,1.13,1.919,1.132,2.065,1.676,1.501,3.452,4.419,1.239,0.994,1.225,3.207,2.79,2.196,0,0,1.498,0.086,0,5.96,0,1.731,0,0.826,1.038,1.011,0.801,0,0,1.768,2.362,0,11.925,0,1.329,3.609,2.608,0.951,7.857,0,5.518,0,4.596,0,0,0,6.326,0,7.849,13.774,0,7.832,11.172,0,0.14,0,5.34,0,0.193,0.025,4.27,0,2.567,0,4.151,4.663,1.178,2.386,6.135,4.133,6.177,6.407,6.028,0,11.858,0,6.411,23.789,25.646,1.278,0.987,4.41,2.301,0,0.041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495285176019999309.sgf,æˆ‘çš„å°?ç‹—,fx913,0.002,0.043,0.151,0.141,0.152,0.133,0.142,0.3,0.111,0.088,0.276,0,0.515,0.273,0.02,0,0,0.112,0.562,0.822,0,1.828,0.376,1.265,0,0.277,0.445,0.911,0.512,2.093,0,1.35,0,0.667,1.203,0,0,1.126,0.071,0.968,0,0.979,0,0.352,0,1.373,1.217,1.933,0.538,0,0.68,1.635,0.477,0,0.684,0,1.584,3.534,1.134,0,0,0.753,2.07,3.976,0,2.338,0,0.341,11.796,8.78,25.82,0,14.911,0,0,0,2.399,11.878,0,22.916,17.938,0,0.679,0,0,0,0,30.427,4.319,8.743,0,0,0.155,0.151,0,5.436,7.277,0,0,0,12.709,14.688,0,1.084,1.806,0.802,1.355,1.741,1.798,0.907,1.975,1.246,5.243,0.94,3.433,0.75,0,4.207,7.627,3.138,2.962,0,0.083,0,2.501,2.437,1.15,2.607,0,1.941,7.231,0,7.478,0,5.7,0,8.165,0,0,0,0,0,4.799,1.193,0,36.575,45.236,0,8.307,6.861,0,1.235,1.853,2.613,0.484,0,0,2.005,0,1.736,0,1.495,0,0.363,0,0.321,0,0.187,0,1.528,0,1.849,1.99,1,3.208,3.677,2.4,2.113,2.063,1.876,0,0,0,1.302,0,0,0,0.048,0,0.467,2.034,0.021,0,1.785,1.699,1.724,1.626,1.822,0,0,0,1.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498378899029006702.sgf,ç§‹å¤©ä¸?å›žæ?¥,@å?šå®š,0.001,0.036,0.106,0.027,0.776,0.803,0.393,0,0.101,0.375,1.667,0,1.8,2.279,1.353,0.968,0,1.137,1.291,2.687,1.947,1.187,0,2.332,0,0,0.257,0,0,5.284,2.553,1.615,0,0,0,0,0,1.688,4.239,6.939,5.343,0,2.384,7.046,6.335,5.818,5.917,4.342,4.309,2.48,3.867,1.809,4.012,0,3.568,0,0,3.854,0,4.899,7.049,11.994,0,24.463,17.502,11.308,10.069,0,3.378,1.963,0,10.021,0,11.109,27.965,0,0,0,0,0,2.491,0,1.926,2.462,2.43,1.262,5.117,0.368,0,0,0,0,1.587,7.243,0,1.54,1.481,2.351,0,0.346,0,0,1.169,0.497,3.439,3.402,4.159,4.614,2.027,7.235,7.65,0,2.568,0,0.536,1.831,0,0,11.788,0.08,3.138,1.265,0,0,3.75,0,1.089,0.137,0,1.201,0.655,0,1.253,32.083,0,3.788,0,1.609,0,0,0,0.126,0,0,5.879,0,0,0,0,9.543,7.501,6.898,10.594,6.028,6.66,10.058,2.699,0,2.388,6.619,4.13,8.49,4.473,0,2.66,4.938,5.579,7.195,5.979,6.804,7.592,8.116,4.811,10.307,5.768,4.537,7.837,13.504,5.88,14.631,13.885,6.801,0,1.617,0,4.05,8.819,4.025,2.343,3.56,2.636,9.26,0,8.81,10.011,18.467,20.739,3.552,2.64,0,0,1.276,2.815,2.153,0,4.578,0,16.036,16.594,10.053,12.814,25.335,24.818,30.641,28.418,29.922,29.947,12.349,6.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515245639010001904.sgf,å¤§æ²³å?—å²¸,å?–A,0.118,0,0,0,0.225,0.21,0.357,0,0,0,0,0.302,0.224,0.176,0,0.518,0.802,1.079,0.57,2.073,0,1.218,4.234,0,0,0.137,2.404,0.199,0,0.237,0.867,0,1.921,1.572,1.525,4.208,2.093,1.489,0,0.957,0.146,0.058,0.186,0.549,0.175,0,0.725,1.739,0,3.452,2.996,5.202,0,0.442,0,1.551,0,1.893,0,1.377,3.55,3.377,0,2.744,0,2.081,2.472,4.468,3.534,3.097,2.978,5.577,5.717,1.364,0.737,3.215,2.817,1.361,0,0.965,0.577,16.299,20.861,19.207,23.069,19.849,16.739,9.805,12.244,22.179,20.205,19.043,17.261,18.026,13.401,12.838,7.303,7.243,0,1.905,0,15.065,10.673,10.954,1.544,2.112,2.254,4.126,3.247,3.356,0,7.642,0,4.374,9.382,0,16.095,20.694,9.187,0,0,4.995,14.777,17.956,18.046,8.687,0,5.784,9.121,6.38,6.293,0,13.434,11.658,2.151,0,6.04,17.36,12.578,1.097,13.724,0,4.293,4.814,4.291,3.292,14.042,0,0,0,0.129,0,12.032,12.187,12.274,3.631,0,11.644,3.749,0.366,6.777,7.359,5.559,0,0,0,0,0.718,0,0.448,17.408,0,0,0,0.258,2.627,2.11,1.54,62.901,0,0.507,2.278,1.44,47.643,0,2.139,0,16.91,13.758,13.318,5.436,5.384,4.15,3.288,13.658,1.657,0,10.533,12.262,14.697,11.632,10.567,17.462,21.165,11.636,8.779,22.616,0,1.508,1.334,0,0,3.191,0,2.285,3.215,5.35,5.361,4.092,3.544,2.634,0.896,0.8,0,3.12,0,3.611,4.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514332408010001187.sgf,â€œä¹?å¤´é¸Ÿâ€?,ç™½å¼€æ°´x,0.005,0.052,0.099,0,0.443,0.762,0,0.066,0.317,0,1.002,0.81,0.731,0.671,0.59,0.388,0.264,0.575,0.704,0.228,0.235,1.007,0.346,0,0,0.225,0.066,0.616,3.764,1.44,2.146,3.121,0.687,2.808,5.602,5.345,3.129,2.866,0,3.507,0.141,1.447,0,1.462,5.413,2.55,3.326,0,0,6.817,6.147,1.903,3.132,0.043,0,6.475,4.643,4.099,1.502,3.159,4.996,0,1.725,0.075,0,0.77,1.405,5.203,5.923,0,2.708,3.389,1.966,1.368,0.466,0.247,1.291,0.422,2.181,2.849,2.983,3.129,0.591,0,1.192,2.968,0.948,0,0.831,0,2.161,0.341,0,1.405,0,0.562,0.043,1.726,3.017,4.113,2.006,2.431,2.142,0.018,3.707,5.337,3.96,0,0.866,0.401,0,0,0,3.955,1.797,0,0,4.141,0,0.974,0.455,0,2.91,3.43,3.702,4.037,6.333,5.421,6.003,6.36,6.469,5.553,4.823,5.434,0,0.365,3.714,3.59,3.884,4.156,4.445,6.195,6.594,7.062,4.037,3.776,2.048,0,0,0,10.864,10.053,15.859,17.794,8.461,5.651,6.441,4.882,3.835,10.724,7.788,5.606,6.462,10.334,7.533,8.718,8.639,9.982,9.63,7.147,7.179,7.497,7.993,8.576,7.904,7.929,4.666,1.973,2.52,11.025,9.776,4.749,5.913,9.059,1.444,2.626,15.683,13.03,14.521,0.277,0,6.705,6.69,0,6.972,3.044,0,13.148,12.133,13.318,18.374,9.284,0,0,18.686,0,3.283,0,3.413,3.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517450312010001909.sgf,é‡Žç‹?å°?å€©,å±±æ²³010216,0.006,0.036,0.107,0.105,0.099,0.056,0.65,0.229,0.308,0.451,0.414,0,0.898,1.637,1.15,0,0,0,0,0,0,8.258,0,2.117,0,0,0,0,7.811,0,0.636,0.049,1.256,2.686,0.504,1.408,1.753,7.006,4.575,0.991,0.604,0.798,2.532,3.804,0,2.323,1.857,1.875,2.064,0.803,0.348,2.199,2.784,8.093,6.042,1.918,2.136,2.557,1.09,0.665,0.531,0.971,0.663,1.845,1.999,0,1.804,0,2.931,0.848,0,4.416,6.579,0.91,2.674,0.181,1.778,1.315,0.995,0.598,0.037,0,2.468,1.188,3.23,1.462,1.298,1.713,1.653,2.634,0.493,0.371,2.021,0,0.878,3.546,5.777,6.098,1.967,0.514,1.819,2.445,0,0.149,0,4.028,3.485,5.57,12.746,0,1.087,3.721,2.108,1.332,21.343,0,3.442,8.735,5.824,0,0,0,4.511,0,0.961,0,6.535,0,0,16.698,10.465,0,4.581,0,0,0,0,5.603,4.297,0,0.285,0,0.993,12.16,0,0,3.722,27.488,1.507,3.55,0.932,0,3.391,7.908,4.822,5.214,1.108,0.078,0.989,0.651,1.135,0.838,1.269,0,1.217,2.525,0,0.81,1.359,3.59,0,6.495,0.13,1.468,0.138,1.923,0.487,0.646,0.177,3.96,0,0.494,0.749,1.409,0.977,1.194,1.443,0.696,0.24,0.373,0.229,1.422,0.151,0,1.475,0.418,1.554,0.497,0,0.812,0.792,1.906,0.686,1.016,0.562,0,1.305,1.523,0,0,0,0.3,0,4.51,3.856,0.683,0.819,0,3.59,1.061,0,0,0,0,0.465,0.222,0,0,0,0.121,0,0.289,0,0.55,0,0,0,0.245,0.366,0.134,1.327,0,0,0.023,0.257,0,0,0.13,0,0.094,1.075,0,0.001,0.02,0.069,0,0,0,1.078,1.11,1.091,0,1.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
