ファイル名,黒,白,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,,,,,,,,,,,,,,,,,,
1485869429019999288.sgf,å?«é†’è€³æœµ,å®‡ä¸Š,0.133,0.07,0.085,0.011,0.185,0.099,0.259,0,1.581,1.529,1.331,1.642,3.757,0.699,0,1.072,0,1.335,0,0.478,2.16,2.691,0.678,1.819,3.497,3.236,4.066,4.078,0,1.677,0,1.507,0,1.747,1.968,0.144,3.414,0.167,2.51,0.464,0,0.66,0,0,6.715,1.263,6.139,4.264,7.942,12.52,13.809,2.128,0.216,0,5.27,3.379,0,0,3.717,1.665,0,6.845,9.19,8.207,1.681,2.553,0,5.12,5.368,2.537,2.455,5.53,2.462,2.53,0,0.049,2.622,1.266,0,2.729,7.999,12.18,2.135,0,1.261,0.538,1.956,6.686,8.733,7.56,5.858,0,0.968,0,2.992,0,0.349,9.286,0,0,0,0,3.335,2.864,1.481,1.901,8.215,0,4.195,8.35,0,12.662,0.87,2.37,4.9,4.972,2.247,0,0,7.903,0,4.028,2.947,5.038,5.682,6.099,7.268,5.39,4.076,4.781,0,6.859,1.484,2.474,1.989,5.648,3.985,2.706,1.706,2.249,0.525,0.569,0,0.432,0.243,1.218,0,0,3.889,8.54,2.19,1.267,0,1.542,0,0,0,0,2.875,0,2.274,5.485,2.394,6.106,3.919,3.911,1.765,0,1.446,0.389,0,1.788,0.759,0.925,0.509,0,1.918,2.163,1.042,1.372,2.97,2.702,3.483,4.583,3.741,2.561,2.577,4.487,5.089,0.311,0.618,3.124,0,-0.124,0,-0.01,-0.008,0,0,0.438,0,0.928,0.87,2.535,2.4,1.265,0,-0.062,1.475,0.385,0,0.316,0,0.166,0,0.134,0,0,0,2.523,2.502,1.363,0.118,-0.082,1.316,0,0,0.208,0.379,0,1.006,0.034,-0.012,-0.076,-0.082,0.006,0,1.202,1.298,0.569,3.404,0,25.041,0,4.231,4.233,0,0,0,0.585,0,0,0,0,0.108,0.131,0.095,0.035,0.002,0.05,0.106,0.031,0,-0.001,0,0.068,0,0.072,0,0,1.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485998204019999229.sgf,172525,ç™½é©¬å?ƒå³°,0.016,0.055,0.152,0.077,1.379,0.768,1.531,0,0.622,0.702,0,0,0,0,2.545,2.555,1.978,1.859,0.675,-0.052,0,0.568,0,0,0,0.97,0.52,1.619,3.166,3.526,8.36,7.807,2.548,3.598,1.816,3.477,1.836,5.005,3.517,6.069,5.605,1.9,0.941,3.104,4.734,4.954,3.13,1.931,2.368,1.843,1.639,0.688,5.208,1.644,0,0,0,0.281,1.138,4.921,3.665,0,-0.034,0,1.939,8.04,1.199,0,0,5.611,0,-0.652,-0.018,3.345,0.474,-0.106,2.119,0,6.831,1.328,0.677,8.064,4.805,0,1.615,0.382,1.397,0.85,6.761,4.796,1.607,2.457,4.019,1.881,2.172,0.752,6.584,5.31,0,2.83,2.713,2.835,3.877,6.369,5.19,4.553,6.332,1.359,3.384,6.52,4.308,9.035,4.693,2.506,4.018,6.644,0.986,0,2.243,0,0.626,1.31,0.461,0,0,3.585,4.887,1.803,1.651,4.106,4.862,6.501,1.395,3.108,0,3.561,4.568,3.987,0,4.161,1.192,4.849,7.822,11.138,0,6.574,0,4.177,0,0,1.923,2.098,4.549,2.407,3.917,3.262,3.985,4.993,10.609,9.496,15.331,13.193,20.515,0,18.264,12.377,11.84,-0.058,-0.366,43.323,1.56,8.459,8.24,7.144,6.907,8.411,8.437,8.046,8.619,7.697,7.314,7.789,8.577,7.808,0.498,3.52,0.392,0,0,-0.054,0,-0.064,-0.009,0.069,0,-0.053,0,1.133,1.182,1.184,1.077,1.073,1.096,1.119,1.091,1.221,1.185,1.035,1.04,1.08,1.094,1.096,1.073,1.188,1.106,1.01,1.053,0.098,0.084,1.132,1.07,1.107,1.021,1.086,1.078,1.088,1.106,1.084,1.007,7.545,7.006,0.955,1.018,0,-0.018,0,0.155,0,1.06,1.071,0.036,0,0.067,0.131,0.031,0,1.101,1.031,1.064,1.065,0.871,0.881,1.034,1.015,-0.015,0,0,0.054,0,1.099,1.239,1.083,1.036,0.948,0.945,1,0.938,0.132,0.072,0.126,0,0.026,0,1.071,1.046,1.12,1.015,1.132,1.272,1.301,1.292,1.317,1.233,1.098,1.168,0.201,0.127,1.006,1.086,0.479,0.39,1.274,1.327,1.386,1.493,1.416,1.225,1.382,1.317,1.405,1.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487143823019999339.sgf,è€?éƒ‘2016,ç½—æ?°é™ˆ,0,0.049,0,0.104,0.307,0.162,0.029,0,1.159,0.358,0.386,0,2.632,0,0.162,0,8.419,0,0,0,1.127,0,4.198,0,6.949,3.186,11.897,5.302,1.943,0,1.903,0,2.008,0,1.813,0.406,5.158,3.699,2.811,0,6.04,6.477,4.64,2.27,0.91,6.207,6.309,3.238,0,0,0.905,0.953,4.633,3.766,7.16,0,4.993,1.218,2.769,0,2.515,0,0.34,0,6.919,0,0.854,2.069,0,1.509,3.602,2.683,4.208,0,0,0,4.636,0,9.875,0,11.514,3.489,0.282,0,20.324,8.36,0,3.246,4.566,4.828,5.59,3.58,1.416,1.115,2.008,3.887,2.875,1.663,1.976,3.103,4.204,4.923,2.939,1.828,6.788,5.667,4.51,3.839,4.817,3.083,7.01,5.458,6.177,5.825,11.937,5.703,9.443,7.017,14.982,13.091,13.109,1.853,5.451,6.601,9.724,0,3.998,0,6.344,0,8.274,3.167,2.819,0.845,0.426,1.705,4.074,3.457,1.768,2.203,5.379,0,3.576,0,0.274,2.13,7.526,8.542,11.136,6.725,2.437,11.279,14.567,2.84,8.302,0,-0.029,0,1.885,5.422,2.125,2.301,0,0.88,1.493,3.425,3.632,0,0,1.226,0.562,0,0,0,0.033,0,-0.049,0,6.554,4.088,0.743,-0.007,3.215,2.78,0.734,0,2.693,0,4.006,5.016,6.864,7.109,7.209,6.358,7.202,7.477,7.574,7.224,7.913,8.087,7.076,7.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488230101019999386.sgf,æµ·çš„åŠ›é‡?1,hyç´¢ç¦?ç‘ž,0.688,1.089,0,1.724,0.046,0.816,0.367,2.277,2.112,0,1.236,2.02,1.855,0,0.807,2.104,1.165,3.225,0,0.077,1.566,0,0,0,0,-0.432,0,5.028,8.669,2.352,1.991,0.622,2.187,0,2.105,0,0.803,0,0,2.542,1.316,0.388,0.822,1.946,2.53,2.59,0,1.749,1.947,1.498,1.032,1.615,2.824,0.698,1.891,1.63,4.946,4.757,1.846,0,4.267,0,2.362,2.414,5.683,6.468,0,-0.082,11.605,0,0,2.339,1.234,0.468,6.631,4.098,5.588,4.595,1.429,3.464,5.75,4.241,1.039,2.157,0,4.81,4.978,7.65,4.723,3.566,2.728,3.822,4.206,0,0.704,0.971,3.893,4.597,1.871,6.919,5.33,6.858,9.187,6.313,15.924,10.629,8.441,12.162,13.488,14.356,9.386,13.29,5.782,10.136,11.401,10.962,9.333,12.543,12.459,13.749,8.601,12.618,13.184,14.001,3.592,14.062,2.455,15.598,9.93,0,9.816,4.324,0,20.494,17.788,41.776,0,6.895,6.485,21.955,14.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490176919019999021.sgf,å?¡æ˜Œå·¥è´¸,poko01,-0.004,0.151,0.131,0.498,0.088,0,0.496,5.026,4.682,0,0,0,0,1.698,2.81,3.574,3.827,4.284,3.995,3.886,3.873,5.112,3.965,4.307,0,3.417,0,0.726,0,1.562,0,1.448,4.05,5.475,5.477,6.642,4.806,3.622,3.376,3.342,1.67,2.454,1.542,3.697,0,4.269,4.681,7.075,5.449,5.077,1.587,3.718,2.848,0,3.022,0,3.527,5.842,8.513,11.21,2.434,3.391,2.474,6.684,0,1.431,0,1.336,2.058,2.467,2.453,7.812,0,2.546,4.585,1.792,2.319,2.978,2.195,5.265,4.413,0,2.876,0.212,0,6.258,0,5.684,2.917,6.268,7.086,7.054,0,0,0,4.761,0,4.371,0,0.863,0,0.469,0,13.151,14.654,0.037,0.705,9.057,15.013,2.304,2.149,6.068,3.608,1.927,1.822,3.339,8.435,10.173,10.936,7.084,3.897,9.897,4.862,5.23,5.204,4.059,2.537,5.07,5.245,6.474,4.981,6.882,4.707,3.269,2.224,3.302,0,3.52,2.225,4.414,3.431,0.937,0,11.032,11.307,9.472,7.927,12.422,11.755,4.797,18.305,13.51,0,0,0,8.002,15.513,0,10.706,2.549,0,25.698,2.355,2.598,1.486,14.301,13.801,14.184,14.681,0.591,0,1.366,0,9.631,8.982,9.041,9.781,10.17,12.92,6.516,1.179,3.82,1.133,1.853,0,1.952,0,2.23,0,2.582,0,11.034,11.582,8.144,5.217,4.225,3.966,5.298,3.233,3.149,1.922,3.66,5.267,13.853,13.305,2.754,1.217,1.616,6.177,1.866,5.237,4.627,1.26,0,0,1.085,0,4.656,2.078,5.722,2.053,21.786,22.778,37.272,38.699,0,0,0,0,9.053,0,1.236,0,3.545,2.049,4.024,0,8.851,8.956,0,0,4.091,1.942,-0.794,0.376,7.764,3.862,7.519,0,9.938,-1.326,4.011,0,-1.452,0.733,9.653,10.024,-0.549,0.265,53.189,52.246,-0.818,3.036,2.638,2.305,2.677,3.651,2.971,3.887,4.519,4.46,4.306,4.612,5.921,0,0.475,0,0.412,0.336,0.233,0.351,0.427,0,2.533,2.124,2.273,2.407,2.555,2.345,2.372,2.281,0.241,0,2.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491301436019999658.sgf,æŠ¡å?§,æ·±å±±é?“é•¿,0.12,0.226,0.183,0,0,0,0.156,0,0.691,0.829,1.258,2.226,0.844,4.287,2.412,3.627,4.015,0,0,0,2.002,4.16,2.224,7.452,0,3.455,1.913,0,-0.513,1.679,0.646,1.911,3.569,4.139,1.23,0.806,2.628,3.237,3.856,0,18.245,16.895,18.35,18.329,1.134,6.482,24.187,3.829,0,1.356,3.491,3.745,3.624,3.854,2.288,2.496,5.551,5.742,4.558,5.479,8.298,7,2.932,2,4.86,1.169,21.37,0,0,2.518,0,1.744,1.028,0.377,3.152,4.911,0,0.859,0.35,3.198,3.067,0,4.468,3.725,3.879,17.145,11.223,12.909,9.382,0.769,0,8.931,9.909,3.855,3.163,1.303,2.227,1.693,3.576,0,1.946,0,6.444,6.156,8.328,8.124,8.508,4.8,7.025,6.199,5.834,4.406,3.2,1.369,5.194,3.47,0.802,2.694,0,1.139,0,4.05,3.28,0,13.374,0,0,10.855,0,0,0,1.596,0,3.047,2.967,14.766,14.319,19.263,13.702,8.906,7.744,0,5.104,0,1.451,0,3.665,10.476,4.833,8.795,0,9.28,0,0,1.345,1.619,0.611,0.706,0,8.548,12.211,12.048,38.954,39.089,43.991,35.434,34.488,34.981,34.658,35.702,34.239,17.867,12.443,12.05,10.076,10.319,5.611,4.856,8.453,16.68,8.274,6.266,5.43,9.347,14.645,11.277,8.017,10.711,0,3.531,3.163,16.989,15.147,16.191,15.357,16.28,15.114,15.804,4.75,5.469,11.653,1.724,0,13.687,13.122,11.063,11.423,2.502,7.528,6.995,0.236,0,-0.025,0,4.274,0.845,0.767,0.175,0.278,0.117,0.261,5.382,5.522,0.163,0,0.63,0,0.614,0,1.883,1.707,5.601,5.882,1.707,1.968,2.855,17.832,7.555,48.982,0,0,16.133,16.477,61.287,0,0.511,0,0.771,0,2.957,2.538,2.617,2.561,2.427,2.458,2.381,0.552,0.448,0.535,1.606,0.848,1.44,0.375,0,0.977,0.87,1.128,0,0,1.325,0,0,0.58,1.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491365790019999619.sgf,å½“æ¹–å??å±€03,ä¹?æœˆé‡‘è´µ,-0.02,0.04,0.127,0,0.471,0.218,1.428,1.811,0,0.702,0,0.314,0.206,4.497,9.08,7.973,3.881,4.716,0,1.804,1.575,5.237,5.808,0,0.719,0,-1.123,0,0,1.545,4.277,3.891,0,1.221,0.709,4.815,2.47,1.66,1.342,0,0,6.659,24.962,25.657,5.862,5.842,6.835,-0.209,0,4.421,4.488,3.548,6.259,5.4,3.194,12.917,11.73,8.358,14.397,0,0,0,6.989,10.447,6.993,4.834,8.039,3.951,3.546,3.919,1.555,0.238,3.647,1.34,0,3.183,3.408,4.691,6.495,7.208,0.58,1.291,0.41,5.534,2.847,0.833,1.059,4.364,1.393,0,3.397,7.597,3.744,7.506,6.215,0,0.134,1.551,4.663,2.877,7.833,2.172,4.595,0.025,0,1.878,3.664,3.63,6.374,0,1.207,3.715,3.736,0,0,0,2.206,2.653,0.968,1.853,2.617,0,0,0,2.978,-0.825,-0.799,-0.504,11.071,8.081,1.277,0,6.304,2.608,3.239,0,1.083,5.826,5.053,6.713,4.087,0,2.248,0,7.42,0,18.304,18.05,16.331,15.497,18.491,17.31,18.442,18.755,20.359,22.761,17.806,23.88,26.424,16.7,13.997,16.36,20.08,18.736,24.023,17.864,20.631,9.626,13.195,4.968,6.195,4.091,12.159,0,2.378,1.339,0,14.138,20.165,0,0,11.441,0,20.264,19.627,25.731,11.667,16.781,2.471,35.93,7.304,12.04,0.759,-2.409,11.185,19.272,22.032,6.296,3.992,23.998,27.923,13.079,61.659,47.312,67.776,84.13,-0.507,-4.419,94.361,9.903,11.861,91.652,90.025,94.605,99.669,98.965,106.678,107.367,96.255,89.036,82.133,85.929,87.728,99.735,101.145,90.543,106.793,6.471,8.631,40.707,34.552,14.025,-2.024,124.648,124.058,123.643,0,33.714,15.113,13.405,14.578,16.433,13.151,17.04,25.701,17.28,14.02,5.693,8.533,12.941,0,0,8.305,34.685,34.409,20.473,20.98,22.865,21.352,35.65,30.636,0,5.426,0,16.174,0,1.569,0.392,-0.483,0,1.136,0,38.543,41.961,40.34,41.191,39.206,39.997,36.32,0,0,37.128,36.773,36.708,37.368,41.712,13.92,12.235,11.187,11.192,12.236,13.942,9.086,8.379,18.729,24.143,29.011,30.263,13.72,13.335,13.53,13.219,15.494,28.867,20.041,21.179,14.201,21.085,32.346,39.232,30.07,30.071,40.292,38.129,37.678,40.953,0,2.491,2.863,2.916,3.06,2.871,2.67,1.822,0,0,0.299,0.087,1.112,1.151,1.1,1.108,-0.127,0,0,1.213,0.047,0.96,1.286,1.277,1.259,0.013,0,1.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491896265019999939.sgf,HFNB,æ?Žå?Ž010218,0.005,0.05,0,0.11,0.55,0.278,0.875,0.375,0.76,0.913,1.582,0.706,1.001,1.322,1.744,0,0.845,2.369,0.977,3.027,1.949,0.684,1.796,0,2.612,6.702,4.716,3.527,3.234,1.034,6.949,3.682,3.016,0,2.142,0.531,0,0,3.598,0,4.126,2.823,8.436,9.142,10.35,9.59,9.439,9.228,4.263,3.828,2.233,4.472,3.87,6.134,5.022,7.622,8.411,7.629,6.944,0.263,0,7.783,8.647,7.227,3.984,5.638,7.63,8.651,11.339,10.689,7.148,6.738,5.617,7.863,7.35,10.179,9.037,8.234,9.701,7.6,10.868,9.559,11.465,8.025,11.357,7.27,11.17,11.183,12.669,12.094,9.159,4.902,7.447,7.68,10.315,9.679,11.49,4.471,3.699,3.178,20.989,13.888,17.6,18.734,19.257,17.634,22.755,18.659,21.04,21.091,22.215,22.842,22.045,22.429,22.715,22.961,27.704,21.982,28.029,24.402,24.66,32.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494217728019999586.sgf,é»‘ç™½æ??å¼ˆ,å¿ƒé?™010213,0.122,0.099,0.204,0.091,0.893,1.632,1.89,0.825,3.577,2.049,0.915,2.116,2.915,1.459,0,1.568,9.527,2.788,0,0,2.59,0,0,0,1.286,0,-0.594,1.661,3.594,1.138,0.929,3.226,2.411,1.331,3.231,0,5.095,1.401,7.081,7.714,6.31,0,0.768,0,4.369,4.252,4.836,8.26,9.135,4.624,4.147,2.054,3.148,0.302,7.78,0,1.129,2.052,0,1.5,3.2,0,1.429,0,0,0,0,0,4.67,3.309,3.698,5.955,0,7.117,1.923,3.224,3.188,0.796,2.17,0,2.957,0,0,1.441,4.717,4.747,0,2.573,2.935,2.412,3.342,4.336,4.245,1.49,3.607,0,3.423,2.34,1.325,0,0,0,2.28,2.128,8.993,10.282,1.836,7.493,7.388,6.807,7.336,7.806,7.668,8.109,7.965,6.474,4.969,3.583,2.951,5.184,8.229,4.847,0,5.717,0,3.498,2.047,0,0,3.549,0,3.52,7.255,10.875,9.532,14.626,8.948,5.248,5.17,1.601,6.695,10.992,15.959,13.416,16.851,14.759,15.229,13.849,15.997,15.603,12.654,11.773,11.192,13.946,13.277,7.924,10.806,7.814,13.14,8.378,10.112,14.098,12.735,13.865,11.712,15.351,12.586,15.582,12.49,12.741,13.222,13.313,11.785,12.098,15.745,15.912,15.893,13.362,11.545,14.007,15.424,15.555,18.848,19.278,16.586,15.558,14.994,15.669,15.908,11.359,9.242,10.438,11.294,14.828,14.815,15.4,15.325,11.077,12.898,10.752,9.748,11.601,11.943,12.967,12.433,12.777,16.719,16.469,15.949,13.472,13.1,13.472,8.646,7.412,12.341,15.896,15.903,13.309,12.59,14.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494998550019999799.sgf,å°‘ä¸°,å?—é£Žçš„çª—,-0.001,0.161,0.144,0.105,0.095,0.274,2.121,2.052,0.309,0.586,0.664,1.418,2.362,2.419,2.627,0.268,1.585,0.123,0.028,0,2.667,1.469,0,3.66,1.097,0.67,1.513,1.736,1.956,4.293,7.561,0,1.594,0,3.152,4.833,4.456,4.532,0,0,3.924,0.172,2.871,1.267,0,2.392,3.02,4.059,5.032,2.215,1.377,3.506,2.866,5.327,6.553,4.857,5.393,4.179,5.418,8.709,1.468,0,6.233,10.104,5.845,4.304,6.42,5.004,8.679,9.305,9.267,6.464,6.193,0.719,0.855,7.52,1.992,6.971,0.889,2.362,0,0,2.525,1.811,9.829,9.74,8.031,16.561,2.664,1.908,3.098,10.534,5.403,6.57,9.538,0,-1.364,0,0.635,0,0,21.195,3.727,0.869,0,6.314,5.669,6.987,6.615,2.117,7.947,5.265,2.934,4.647,4.557,2.594,2.878,1.315,1.199,0,3.566,2.386,6.549,2.793,2.731,1.835,4.239,2.744,4.036,0,0,1.526,2.646,3.5,0,1.607,10.651,2.494,5.054,1.823,0,3.382,1.685,1.402,1.143,2.173,0.809,8.791,2.766,0.695,3.458,7.193,2.865,4.748,6.853,3.835,3.188,7.156,1.838,4.099,1.897,1.956,1.449,1.503,3.712,8.374,8.206,-0.358,0,0,0,6.222,8.019,8.715,8.275,8.825,6.892,7.233,2.962,13.636,13.071,0,0,0,4.13,0,4.241,0,0.635,3.339,2.914,1.603,3.281,2.266,1.268,1.008,3.1,6.725,6.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
