ファイル名,黒,白,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400
1488170096019999012.sgf,狼。。,lyz四平八,-0.001,0.052,0.114,0,0.166,0.054,0,0.256,0.235,0.295,0.421,0.687,0.542,1.216,0.975,1.627,0,2.429,0.432,0.551,2.258,2.212,3.282,4.053,0,6.025,0,0,8.281,0,0,0,1.3,1.407,0,0.55,4.665,3.266,0.825,1.848,2.692,2.211,2.906,1.812,1.968,4.162,6.527,6.267,1.31,0.798,2.531,0,0,0,0,0.386,2.069,0,1.619,0,3.637,0,3.509,2.466,0.23,1.888,7.49,6.517,5.91,3.715,4.022,3.692,3.128,3.208,0,3.733,0.449,3.578,8.105,6.768,5.029,4.585,4.261,5.034,4.455,5.937,5.163,6.286,6.629,3.783,4.684,1.653,4.812,5.228,3.54,0.707,0,3.599,2.269,1.791,3.593,0,0,0.621,0,2.382,7.241,2.355,0,15.3,0,1.475,14.959,18.247,0,2.267,4.338,0.641,0,6.356,0,1.865,0,0.135,0,3.838,1.45,0.901,0,5.86,4.161,-0.197,1.37,2.386,3.578,7.158,5.001,3.933,5.136,5.019,1.624,2.617,8.728,9.287,0,3.202,6.308,7.548,2.571,2.625,4.596,0,1.043,6.036,0,0,13.843,0,2.841,17.016,0,2.768,1.95,3.966,3.654,0.748,3.437,0,23.171,0,12.867,0,9.454,0,19.005,38.8,40.109,0,8.769,0,-1.482,48.474,41.345,0,5.073,4.88,0,1.222,0,0,0,0,0.819,0.912,1.309,0.977,0.782,0,5.369,5.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488285001019999890.sgf,唯和办公,lyz四平八,0.903,0.036,0.221,0.25,0,0.192,0.434,0,0.527,3.612,3.452,1.592,0.501,0.895,0.535,1.035,0,0.777,0.7,2.748,1.925,1.55,0.834,2.166,2.46,3.279,1.063,1.572,2.74,4.508,2.994,5.188,0,0.58,0,3.388,0,1.19,2.367,6.978,3.09,7.871,0,2.271,6.534,11.917,3.633,8.033,5.646,8.248,3.582,5.265,0,3.211,0,3.084,0,10.181,4.736,3.69,0,3.589,0,3.505,4.23,22.278,13.99,13.944,13.174,15.044,18.212,11.97,11.456,2.53,2.854,1.179,0,1.273,0,14.496,4.166,12.927,1.457,1.426,17.822,0.074,0.781,0.781,0,1.261,16.646,15.891,1.268,3.405,5.126,4.54,5.015,3.37,1.256,5.621,6.866,-0.839,0,1.926,1.618,0.939,0.94,0.911,0,7.692,8.067,1.78,5.853,1.916,0,0.807,1.266,1.599,0.635,-0.019,2.142,1.977,3.981,3.553,6.741,6.625,0.872,-0.092,2.223,3.671,0,3.383,2.913,2.575,0,-0.18,0.938,0.416,0.629,-0.783,0,-0.103,0,9.011,8.094,8.144,7.431,0.228,0.476,0.144,0,0.408,0,0.785,13.605,12.244,1.503,-0.123,26.273,0,3.42,0,1.787,6.478,5.632,7.807,10.298,8.31,8.239,5.583,3.451,3.165,5.964,7.111,78.231,66.766,0,6.202,0,0,0,0.612,1.297,0,0,0.711,2.068,0.282,2.837,0,0.212,0,1.097,1.098,1.005,0.006,0.067,0.986,0.992,0.003,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488286633019999523.sgf,eedcechen,lyz四平八,0,0.041,0.095,0,0.278,0.482,0,0.493,0.456,0.807,0,1.474,0.917,0.474,0.167,1.058,2.147,0,1.054,3.074,2.301,5.513,3.933,2.841,2.69,1.87,1.201,4.617,1.721,2.904,1.441,1.992,1.454,1.37,0,0.925,4.6,0,3.312,2.932,2.617,4.668,2.042,1.487,0,4.013,2.487,0,0,2.186,8.244,10.647,0,0,0.17,0,0.396,7.373,7.423,12.08,5.808,6.767,6.033,7.29,7.923,5.26,5.1,4.752,3.662,6.569,2.152,6.043,3.748,15.009,15.322,18.088,19.462,10.806,7.938,7.073,0,10.094,8.192,4.347,5.579,15.055,3.086,3.453,4.281,4.422,1.102,2.463,0,5.744,0,0.185,5.954,10.302,0,1.861,0,4.265,6.378,0,14.066,14.767,14.392,0,2.207,19.225,19.407,0,2.787,1.938,3.812,6.592,7.304,4.271,4.21,6.44,6.116,0.646,0.8,7.27,7.377,0.459,0,8.394,8.707,2.381,0,7.141,7.668,8.932,9.021,9.176,9.202,9.408,9.102,9.246,9.186,9.234,9.343,9.242,9.429,8.882,8.929,9.346,9.474,8.847,8.605,7.635,7.656,5.903,7.318,3.434,2.213,9.639,9.403,9.495,9.358,9.03,9.388,9.134,9.028,8.894,8.858,8.336,8.517,0.876,0.771,0.806,0,3.944,4.089,5.556,7.566,0,1.109,1.331,0,0,2.357,1.047,0,1.209,3.103,0.958,0,0.323,1.144,1.09,0,0,0,0.196,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488291495019999524.sgf,佳期如梦12,lyz四平八,0.129,0,0.076,0.528,-0.012,1.197,0,0,0.48,1.346,0.393,2.374,0.471,2.028,0,4.345,2.406,2.165,0,0.16,4.185,4.519,3.744,7.333,3.071,0,0,0.809,3.277,11.538,12.912,2.44,4.605,7.369,5.137,3.561,5.371,3.362,4.162,6.35,0,0.02,7.276,1.039,0.279,4.251,0,7.252,0,7.754,4.459,4.051,4.316,4.467,5.348,2.587,3.057,5.804,4.859,4.315,3.857,3.504,5.108,3.855,0,8.362,0,0,1.884,6.803,11.115,2.42,1.874,10.887,8.94,6.742,6.782,10.464,9.163,8.314,7.895,6.21,4.048,3.333,3.294,4.206,2.899,2.321,1.307,0,6.825,6.425,4.616,4.976,5.946,5.764,5.431,6.132,6.018,5.89,4.527,5.614,4.979,3.07,2.997,3.403,3.873,7.159,5.145,5.076,5.1,4.043,0.896,5.472,11.702,0,8.834,13.551,8.236,4.806,7.961,13.501,11.341,0,0,0,0,0,0,0,11.42,0,5.953,0,-0.547,6.355,3.741,0,9.548,0,1.612,0,1.905,-0.778,19.737,12.52,17.415,37.944,26.61,0,5.405,8.403,7.01,8.576,-0.672,3.489,8.667,5.497,-2.278,12.676,10.234,0,10.548,10.78,11.193,11.326,5.26,5.37,3.026,4.861,6.368,1.189,0.217,0,0,0,0,0.172,0,1.327,0,3.203,2.539,2.093,2.802,0,0,2.361,1.763,0,0,0,0,0.73,0,4.172,0.982,15.843,2.134,9.033,6.029,16.159,22.919,23.753,24.865,20.707,17.74,17.928,21.811,20.152,20.675,20.378,21.243,20.438,8.624,18.377,21.31,18.093,14.838,14.655,19.315,28.43,27.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488292540019999275.sgf,lyz四平八,佳期如梦12,0,0.169,0,0.059,0.377,0.826,0.322,0.575,0.363,0.736,0.721,0.314,1.434,0.44,0.212,1.301,1.98,0,2.192,0.508,0,0,0,0,2.726,0,6.593,8.139,7.402,7.69,6.482,4.706,3.961,9.143,3.313,0.766,0,2.058,2.565,2.833,6.26,4.213,0,1.801,1.596,2.309,0.562,1.098,0.261,0,1.946,0,0.362,0,-0.188,0,0,0.092,-0.007,0,1.883,2.654,4.915,5.201,6.233,2.891,3.811,2.039,2.314,2.01,4.299,3.775,3.716,4.926,5.659,4.659,5.358,5.494,5.49,4.539,4.285,4.784,5.24,5.003,3.654,3.52,-0.156,0,3.928,0,6.126,8.921,5.861,6.42,9.421,8.015,7.764,10.262,10.456,10.276,10.085,3.961,6.196,5.788,7.539,6.786,10.212,8.599,4.901,5.361,7.019,9.028,4.363,7.534,13.002,12.938,14.344,11.565,10.472,12.125,12.157,15.725,10.138,8.79,11.29,0,8.265,6.211,14.333,2.081,5.037,13.421,8.847,7.516,8.261,9.361,10.718,8.682,6.738,0,7.021,4.449,14.424,0,12.742,45.841,3.18,4.549,0,6.904,1.917,0,5.197,6.332,0,1.052,2.506,0,1.749,0,1.862,1.975,1.945,2.07,1.657,0.784,2.887,3.276,0.486,0,0.659,3.898,3.592,3.086,4.098,0.937,0.679,3.298,2.199,0,0.216,2.484,5.322,3.08,2.937,5.846,5.45,6.852,4.856,3.662,4.738,6.109,-0.319,0,6.906,7.171,5.165,1.937,2.214,2.822,2.114,1.428,2.923,-0.299,1.922,0,0.493,0,0.951,1.14,1.403,0,1.35,1.748,1.172,0.543,0.202,1.319,1.793,0.737,0.8,0,0.927,2.231,0,0.757,2.036,0,0.387,0,5.616,5.634,3.565,3.543,4.453,3.055,0,3.946,4.249,0,0,0.151,0,-0.504,2.99,3.788,3.96,3.201,0.088,0.49,1.234,0.264,2.416,-0.086,-0.589,-0.064,0,1.014,0.338,0.025,0,2.219,0,0.203,1.402,2.56,0.514,1.309,1.931,2.455,0,1.159,22.761,22.264,13.4,14.183,0.133,0.233,0,1.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488379750019999450.sgf,lyz四平八,LYJYC888,0,0,0.207,0.25,0.775,0,1.516,-0.022,0.161,0.752,0,0.18,1.487,1.079,1.277,0,2.409,3.183,1.039,0,7.052,1.515,0,0,4.983,0,6.098,13.204,0,0,9.296,0,8.524,0,0.202,0,0,5.753,0,3.082,1.945,3.063,0.626,1.305,2.263,2.366,0.802,1.497,2.132,1.291,1.378,1.184,1.589,0,4.974,4.355,8.849,0.41,1.711,4.112,4.658,3.951,0.51,0.725,0.843,0,3.834,7.976,4.568,0,2.874,0,2.581,4.87,0,2.882,2.048,2.552,2.694,0.237,0,4.388,0,0.539,5.444,10.931,1.345,1.199,1.047,2.494,0,3.1,2.312,1.728,7.044,5.726,4.271,2.08,5.989,0,1.784,0,1.494,7.923,0,7.029,6.281,13.778,18.97,0,0,1.057,10.904,12.724,11.239,14.106,0,4.32,0.394,1.535,0,4.192,0,3.324,1.111,1.809,0,2.047,0,10.536,11.599,0,10.476,0,11.561,0,0,20.989,54.768,7.907,8.007,0,0,6.98,11.099,0,0,1.863,6.402,4.304,2.341,2.862,1.592,4.577,7.605,3.248,1.931,9.551,17.949,3.299,8.926,0,12.816,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488429873019999174.sgf,云树嘉湖,lyz四平八,0.111,0.1,0,1.512,1.117,0.154,0.305,0.736,0.667,0.643,2.218,0,2.466,1.273,3.095,1.397,3.287,1.881,0,3.049,3.009,4.619,1.879,1.125,2.043,0.831,0.013,0.134,0.696,1.136,2.425,0,0.274,0.032,0.11,0,4.742,3.128,2.675,0,3.398,0.488,1.157,1.976,-0.064,5.261,0.684,4.732,3.386,4.147,8.767,7.189,1.987,5.25,0.715,0.965,0,1.907,8.994,9.342,2.699,5.41,2.704,0.502,0,1.464,0.512,1.143,0.952,1.315,3.307,0.635,0,3.247,4.265,0,1.002,0.867,6.477,4.679,0,3.608,7.328,0,1.174,0,0.338,2.337,4.352,4.733,2.23,4.426,1.437,2.635,0,2.735,0,-0.395,3.482,4.88,0,1.834,0,1.938,0.592,2.341,3.925,0.967,0,6.327,0,1.656,0,8.115,9.844,11.864,6.45,7.993,1.158,4.34,11.878,12.105,3.981,5.992,10.39,0,0,0,-0.681,0,-0.227,0,33.741,7.406,7.822,2.76,1.458,0,4.906,2.166,11.756,5.808,7.546,6.454,7.487,0,0,3.504,11.676,0,2.828,0.993,3.582,5.357,7.804,8.432,0,0,0,0,0,0,0,0,0,3.471,0,1.596,3.33,0,6.874,7.032,7.093,6.933,6.322,0.089,4.729,1.172,0,1.295,6.362,0,5.567,1.586,2.793,4.93,4.353,1.534,5.471,4.304,6.972,0,0.927,1.083,1.25,0.774,0.648,0.448,0.758,0,2.162,1.624,1.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488432219019999617.sgf,lyz四平八,assfa,0,0.183,0.165,0,0.279,0.471,0.515,0.182,0.707,0.069,0.917,1.449,0.073,0.989,0.826,0,0.069,0.105,0.565,0,1.768,0,1.141,1.782,0.558,0,0.976,0.878,0,2.41,0,0.341,0.407,0.974,2.285,0,3.889,0,2.239,0,0.994,1.081,1.345,0,0.897,0,0,-0.391,0,2.599,0,2.756,1.709,7.545,11.964,2.467,5.175,2.291,0,2.783,1.371,5.072,3.199,4.985,2.204,4.481,1.808,1.944,3.698,0,0,0,2.021,5.927,0.301,2.9,4.046,4.88,16.648,10.755,0.456,1.551,0.572,0,1.497,0.714,0,1.075,1.312,1.789,0,1.353,2.559,2.131,0,0.372,2.601,9.038,0,0,5.141,0,0,0,2.481,0,2.436,0,0.98,1.725,2.056,5.937,1.654,0.565,1.212,2.016,1.692,5.087,1.174,3.595,2.289,9.595,5.403,4.341,2.711,4.433,1.885,7.934,4.675,6.961,1.229,3.531,0,0,0,0.793,0,16.528,14.505,16.907,12.387,13.883,10.098,11.705,18.86,27.816,13.311,21.335,0,4.387,0,2.001,1.269,2.507,0.938,0,8.266,7.9,8.596,6.617,0,0.499,0,1.482,3.578,1.868,0.514,2.58,4.481,0,56.541,57.141,0,12.293,11.847,11.682,10.162,10.303,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490279226019999472.sgf,lyz四平八,yxy001,0,0.056,0.008,0,0.323,0.564,0,0.773,0.483,1.849,2.316,0.543,0.796,5.044,3.118,0,0,7.421,0,5.115,7.255,4.321,3.36,7.359,9.739,8.135,0,2.795,0,0,0,0.14,3.862,2.667,8.196,0.43,0.847,3.136,3.287,2.373,2.587,2.372,3.584,2.631,0,0,0.205,0.73,0,0.068,0.441,2.298,0,4.025,4.659,7.126,8.689,0.541,-0.415,3.117,6.381,2.782,4.203,0,0,6.686,9.993,1.062,0,4.174,7.012,4.391,3.243,6.303,3.432,0.435,3.616,1.442,0,3.669,0,12.437,8.426,7.905,11.609,15.862,3.579,15.335,8.028,4.644,17.842,13.662,20.516,16.987,19.775,17.283,13.179,16.2,19.32,15.946,18.669,12.395,18.582,8.744,10.781,5.548,8.392,11.194,10.084,8.188,7.834,11.267,8.61,5.988,4.827,4.364,2.189,3.657,2.1,2.178,1.139,3.302,2.265,1.465,1.469,1.309,10.918,2.047,-1.483,-1.235,-2.736,-3.685,0.73,7.153,0,0,2.445,0.77,6.166,1.948,1.648,3.312,1.344,0,2.758,0.118,0.364,3.124,0.043,0.665,5.269,-0.279,0.824,0,2.494,-3.872,-3.598,1.286,-0.162,7.54,7.585,5.913,5.364,5.628,3.924,2.856,5.787,7.723,4.813,2.344,2.047,0,3.642,0,0.899,2.304,0.711,0,0.192,0.232,2.622,1.255,1.321,0.237,0,1.652,3.44,3.517,1.927,1.311,3.664,3.93,0.96,0,2.947,3.194,3.253,3.713,3.06,3.716,0.429,0,0.586,1.991,1.059,2.051,3.009,2.583,2.57,3.006,1.213,1.185,2.017,2.558,1.332,1.393,4.383,0.163,0,3.103,3.087,3.093,3.263,0,0,2.45,0,4.061,0.488,0,0.006,0.144,1.587,1.473,4.002,0.297,3.301,1.241,2.579,0.595,0.845,2.671,2.718,0,0.331,0.146,-0.151,0.191,2.492,2.879,2.798,2.87,1.926,2.265,2.632,2.935,2.475,2.81,2.109,1.821,-0.212,0.309,0.153,2.324,0,0,0,1.864,1.147,13.831,0.638,0,12.575,12.558,2.356,2.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494386608019999146.sgf,Erudite01,田耕,-0.017,0.035,0,0,0.119,0.065,1.635,1.088,0.533,5.283,3.907,5.667,0,2.708,7.577,9.436,5.904,7.166,4.686,4.441,8.144,5.838,5.118,0.388,3.298,7.604,4.183,4.957,8.163,6.001,2.638,6.661,5.152,4.036,4.502,3.675,1.217,1.291,0.665,0.395,0,4.056,0.494,2.817,0,3.527,3.049,-0.001,0,0,1.75,0,0,0,13.468,0,2.091,6.208,6.015,5.081,0,6.437,4.321,6.029,6.91,8.604,5.386,3.9,3.034,2.308,3.322,3.497,2.657,1.624,3.543,2.615,3.215,4.891,9.79,2.839,4.693,0,0,9.663,7.693,3.501,5.307,0,2.847,4.608,3.746,2.598,0.767,1.08,0.174,0.949,2.213,1.496,3.112,2.748,1.573,1.052,0,1.404,1.347,6.718,8.922,0,1.471,0,1.317,1.576,3.11,0.386,0.673,0,2.505,0,3.653,5.987,6.466,7.9,2.223,0.396,4.568,3.528,5.29,4.534,1.958,5.497,1.715,4.204,0,2.924,3.768,3.793,2.776,3.603,9.27,5.063,5.04,4.11,5.682,5.312,4.998,5.73,4.818,4.666,6.236,8.749,7.951,3.267,5.318,5.193,4.146,3.093,0,1.487,4.629,5.168,2.441,2.299,4.255,1.978,4.093,0,0.721,0,3.26,5.102,4.956,6.758,3.246,3.61,6.877,4.732,0.656,-0.167,11.547,8.847,9.366,0,0.196,3.667,3.75,4.112,5.817,3.069,2.774,4.874,4.929,2.874,2.813,4.992,0.27,1.095,0,33.71,30.641,5.949,5.393,4.506,9.105,0,0.472,0.606,0.666,0,5.588,5.488,2.086,4.189,0,0,0.277,0,3.367,2.883,0.382,0,0.135,0,0.048,0,0.132,0,0.25,2.382,3.545,1.446,1.935,1.828,4.46,2.557,2.49,0.26,0.066,3.954,0.306,0.119,3.294,3.497,0.177,0,0.079,6.167,0,0.123,0,0,0,2.166,0.958,0,1.368,2.539,2.591,3.383,0,0,0,0.028,1.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
