ファイル名,黒,白,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400
1486276748019999887.sgf,jefflau,lanvin99,0,0.037,0.111,0,0.204,0.215,0.514,0.242,0.359,0,0.504,0.514,0,0.141,0.49,0,0,0,0,0,0,0.467,0,0.536,0.636,0.244,1.012,0.81,0.54,0.556,0.507,0.364,0.604,1.072,0.495,0,0,0,1.889,2.739,1.007,0.991,1.534,0,2.046,0,4.541,6.681,4.27,1.103,0,0,0.81,1.815,0,2.571,0,0,1.088,2.854,0.484,0.386,0.263,0.564,0.45,0.67,0.927,0.411,1.065,1.041,1.276,0.649,0,2.526,0,2.21,2.015,0,2.235,1.725,0.374,0,0,1.672,1.213,1.576,1.987,3.035,3.454,1.016,0.209,0,0.548,0,0,0,0,0.106,0,0,0,0.053,0,5.042,0,3.518,0,8.469,5.563,7.239,0,1.061,0,0,-0.553,6.553,9.992,5.223,0,0.393,0,2.311,0,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486322660019999448.sgf,大禹2015,jefflau,0,0.053,0.123,0.128,0.115,0.137,0.254,0,0.612,0.516,1.066,0.943,0,0,0.998,0.71,0.165,0.107,0.886,0.682,0,0.705,0.57,0.465,0,0.759,0.502,0.934,0.466,0.209,0,0,0.466,0,1.019,0.273,0.762,0,0,1.779,0,0,0,0,2.665,2.553,0,0.164,0,0.244,0,0.338,1.62,1.502,0.459,0.178,0,1.643,2.77,0,0,0,4.761,0,5.306,0,0,0,6.843,0,1.605,0,1.33,2.397,4.187,3.089,1.18,1.113,0.53,0,3.41,1.68,3.254,4.238,0,0,0.932,1.949,0,0,3.872,0,1.426,1.886,2.192,3.049,2.843,1.272,2.97,0,5.31,2.058,2.503,1.78,0,3.115,0,3.064,7.911,2.708,1.942,0.863,4.923,8.279,1.46,1.863,0.008,0.828,0,2.462,0.882,13.16,8.418,10.17,0,0,0,0,-0.421,0.495,0,16.999,0,0,7.986,0,0.603,3.682,4.28,3.206,3.169,10.536,22.01,14.34,1.014,0,18.371,1.824,8.852,0,-1.871,-3.042,0,7.107,0,36.251,0,8.817,0,2.663,0,8.342,0,3.763,0,0,0,7.504,0,3.741,0,2.058,0,-0.532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487138839019999122.sgf,啊飘222,wbcfree,0,0.057,0.141,0.116,0.132,0.07,0.364,0.232,0.578,0.385,0.255,0.637,0,0.223,0.365,0,0,0.611,0.935,0.575,0,1.273,0,0,0,0.802,1.45,5.642,0,1.426,0,2.777,0.682,0,2.449,0,0.32,0,4.97,1.058,0,0.212,0.26,1.606,0,3.106,2.587,3.212,2.839,5.048,3.612,2.688,1.348,1.935,0,0.158,0,0,0,0,11.641,9.248,1.039,1.101,0,0,0.146,0.551,-0.18,2.433,0.573,0.942,0,0.105,0.67,1.996,0,0.09,0.771,1.768,1.897,0,1.283,1.713,0.888,2.455,0,0,0,0,0,0,0,2.048,0,-1.754,0,4.706,0,0,0,0.291,0,-0.029,0,4.915,6.071,0,0,0,0,-1.27,0,2.777,5.167,5.652,0.783,0.796,-0.598,0,0,3.526,0,1.283,0,-0.271,0,11.655,8.838,9.653,6.317,0,0,8.458,8.337,5.19,4.402,7.779,6.17,3.401,2.863,1.187,3.728,0,1.515,0,0.362,0,4.071,4.724,3.061,3.246,1.431,2.454,0,0.929,0,3.359,10.04,0,1.248,3.584,1.611,2.954,7.976,0.865,2.761,0,0.622,-0.493,1.869,3.216,2.749,3.288,3.77,1.904,2.331,2.428,1.541,1.796,2.821,2.367,2.259,0.864,3.769,-0.026,0,0,0,0,1.05,1.751,0.593,0,2.352,0.655,0.402,0.728,0,2.372,2.394,1.982,2.786,0.6,0,0,0,-0.021,0.487,0.296,0.385,0.614,1.842,0.333,0,0.389,0,0.652,0.256,0,0.244,0,0.32,0.198,0.809,1.448,0.561,0.625,0.321,0,0,0,0.727,0,0.15,1.201,1.265,0.177,0.208,0,0.519,0,1.396,1.408,0,-0.236,-0.814,0,0,0,0.108,0.093,0,-0.033,0,-0.147,0,0,0.003,0,0,0.452,0,0,-0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487245845019999106.sgf,清雨飞扬ly,wbcfree,0.001,0.056,0.135,0.125,0.328,0.077,0.154,0.29,0.264,0.399,0.361,0.732,0.446,0.079,0.271,0,0,0,0,0,0,0,0.335,1.295,0,1.805,1.545,0,1.679,3.686,0.32,4.418,0,2.013,0,0.377,0.786,0,2.185,2.183,5.358,1.445,3.16,3.793,1.016,0,0,0.631,0,0.844,3.23,1.46,0,0.173,-0.504,-0.325,0,2.652,5.003,5.434,0,0,0.215,0,0.428,0,0.876,0,2.134,4.367,5.442,1.548,1.449,1.014,0,0,0.264,1.01,0,0,0,0.337,0.645,2.505,0,4.084,2.545,0.392,1.064,0.96,2.003,1.218,4.287,0,0.275,0,0,0.893,0,2.082,0.329,0.112,2.997,0,0,2.855,0.795,2.654,4.476,4.229,1.009,-0.42,10.132,9.982,6.842,8.791,0.884,8.922,7.868,5.448,6.457,0.457,-3.094,1.698,7.359,5.801,5.253,8.706,6.504,9.347,16.006,0.771,7.688,3.433,5.109,4.793,5.465,9.999,0,-0.645,0,4.601,8.15,4.603,5.71,0,0,6.245,0,0,16.398,3.262,2.995,5.577,8.014,43.735,0,4.899,0,-0.155,0,0,0,2.507,4.073,19.993,5.708,0,0,4.637,0,2.591,0,3.506,0,12.057,12.445,15.324,0,12.966,0,0,0,10.033,0,1.185,17.211,0,0,4.912,5.14,24.107,22.721,21.844,20.437,26.044,25.336,1.745,0,17.283,0,4.364,3.222,13.432,12.291,0.972,1.892,3.245,2.863,0.469,0,0,0,0,-1.966,0.655,0,0,-2.008,-2.564,1.021,0,3.988,0,0,5.862,0,0,0,0,0,-0.524,0.354,0,0.927,0,0,-0.214,0,2.475,3.572,1.567,0,3.185,0.593,0,3.6,1.533,0,3.605,3.571,3.164,4.082,2.809,5.396,3.987,6.964,6.768,3.358,4.762,4.457,5.495,3.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489198550019999432.sgf,wbcfree,网际游客,0,0.057,0.163,0.095,0.201,0.17,0.086,0.214,0,0.022,0.089,0,0,0,0,0,1.164,0.79,1.059,2.315,2.02,1.2,1.94,0.474,2.577,0,1.245,1.537,1.956,0.008,0.845,2.855,0,0,0,0,0,0.732,0,1.511,0,0,0,0,0,3.281,1.32,0.533,2.063,1.48,1.352,0,1.715,0,0.284,0.531,2.444,3.112,0,0,0.114,0,2.343,0.884,0,-0.02,0,-0.111,0,0.229,0,-0.387,0,0,0,0,0,0,1.297,-0.161,0,4.464,2.635,0,5.773,7.313,0,4.644,1.277,0,3.39,0,2.983,0,0,2.754,3.158,0,7.368,6.05,2.652,2.792,3.496,2.125,2.945,6.095,9.344,7.714,9.742,7.709,3.683,6.188,10.261,2.368,6.265,1.951,5.67,5.848,5.824,0,7.854,6.767,5.901,0,5.452,3.103,-0.568,7.967,5.661,7.761,9.243,10.648,14.523,3.995,3.895,17.328,11.695,13.574,4.372,10.974,8.609,8.852,4.902,3.68,1.062,0,5.048,-4.945,3.471,1.01,12.853,0,9.473,0,0.95,0,0,0,4.941,6.497,10.03,10.404,13.492,12.696,3.484,0,16.298,16.696,17.5,14.718,8.596,15.021,5.328,0,16.031,11.458,7.135,9.464,9.2,3.497,4.621,7.234,5.442,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489200508019999812.sgf,wbcfree,网际游客,0,0.053,0,0.118,0.489,0.206,0.495,0.438,0.91,0.938,0,0,0,0,0,1.534,0,0,2.159,1.592,0.481,0.464,0.543,0.912,0.753,0.194,1.578,6.252,0,4.349,0,0,2.427,0,0,3.868,7.812,0,1.282,2.624,2.469,3.412,3.206,0,1.519,2.811,1.401,1.055,0.933,1.919,2.204,2.189,1.33,2.154,0,2.957,5.715,4.739,5.33,5.113,3.189,13.624,14.794,7.322,8.377,5.278,3.155,0.195,-0.06,-0.114,0.006,0,1.046,3.324,0,1.397,0,0,0,2.359,1.528,0.746,3.762,1.853,0,0,5.045,-0.766,0,3.434,3.487,0,9.41,14.472,0,0.606,0,6.812,0,1.749,10.418,0.58,0,0.266,0,0,2.202,0,5.803,0,0.569,0,0.929,4.997,0,5.747,0,0,0,0,0,0.393,0,0,0,0,1.375,0.721,0,3.23,0,0,1.109,1.349,0,3.402,0,2.655,0,1.239,0,0,0.915,0,0.878,2.012,0.47,0,0.655,0.401,2.772,2.315,1.78,1.255,0.623,0,0.843,0.981,0.942,2.102,1.332,1.798,0,1.139,2.261,3.36,1.562,1.365,2.046,3.445,0,-0.136,-0.057,0,1.006,0,1.678,2.072,2.502,1.192,0.172,0,0.379,1.777,1.575,0.391,0.216,0,1.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489230214019999972.sgf,玉佛山人01,wbcfree,-0.004,0.063,0.175,0.507,0.83,0.245,0.444,0,0,0,0.634,0,1.338,0,0.386,0.761,1.285,0.394,0.025,-0.088,0.586,0.206,0.041,0.54,1.314,0.314,0,2.807,1.245,0,1.598,2.133,2.213,2.059,3.485,0,0.542,0.471,0.064,0.58,0.982,0,2.575,0,1.717,2.124,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225,5.004,5.894,3.41,2.919,0.984,1.228,2.882,2.136,2.694,1.423,1.088,3.366,2.167,2.23,2.181,0,1.236,1.002,1.409,7.867,0,0.764,0,0,8.685,9.644,8.068,1.24,0,0,0,0,2.888,0.837,1.07,6.078,0.25,2.26,2.732,0.806,1.455,0,0.396,0,1.081,0,0.584,0,0,0,0,0,0.125,-0.616,-0.65,1.454,0.988,0,0.18,5.988,6.699,12.674,0,2.333,0,2.921,10.176,2.459,1.45,0,1.15,0,6.072,5.538,2.959,3.867,6.689,2.38,0,-0.47,0,-0.049,0,1.736,1.645,0,0.436,0,2.545,0,0.631,0,0.661,0,1.43,1.503,5.221,0,10.267,11.603,0,0,0.07,1.282,0.272,1.416,2.366,3.584,-1.293,-0.904,2.552,3.88,0.503,-0.406,-1.966,-1.113,-0.588,-0.517,0.603,0,2.037,0,1.236,1.932,2.193,0.953,0,0.524,-0.534,-3.2,-1.861,0,0,0.867,0.286,0,0.397,1.064,0.179,0,0.19,0.716,1.11,0.32,0,0.057,0.694,1.192,2.125,0.587,7.229,2.064,2.256,0,0,0.305,0,0,19.695,21.718,1.111,1.002,0,0,10.165,0.963,-2.985,0,0,0,11.793,19.984,0,-0.794,0,0,6.513,6.73,0,0,8.817,0,38.343,48.708,0,0,0,0.532,1.219,1.264,0.768,-0.081,1.33,0.499,0.359,0,0,0.222,0.282,0.195,0.409,0.142,0,0,0,0.44,0.249,0.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489298028019999545.sgf,wbcfree,tgw01,0,0.066,0.125,0.078,0.261,0.118,0.201,0.402,0,0.465,0.284,0.949,0.406,1.572,0,0.416,0,1.481,0.371,0.079,0,0,0,0,0,5.271,0,0,2.551,-0.098,0,4.98,2.133,2.35,1.473,1.645,0.224,0,1.462,0,2.261,19.548,0,0,0,4.453,0,1.217,0,2.026,0,0,0,1.167,0,0,0,-0.556,0,1.422,1.8,7.637,0,2.716,0,1.775,2.924,3.881,1.141,0,2.814,1.968,7.304,8.476,4.854,4.559,3.729,6.416,6.482,2.66,3.383,1.749,1.38,2.673,0,3.886,2.29,3.759,4.81,4.523,7.668,2.043,1.16,4.57,1.368,2.109,0,3.179,3.639,6.478,6.864,9.55,12.524,7.229,4.916,11.375,3.101,3.342,9.809,3.057,5.628,0,8.508,0,6.852,5.985,11.439,6.614,0,0.154,1.908,1.206,0.607,3.963,4.933,11.811,11.724,6.903,7.207,11.762,9.429,11.199,2.486,4.863,0,0,9.773,0,12.476,1.84,0,4.049,-1.536,0,-1.479,0,0,7.707,11.346,8.206,15.252,2.425,8.385,2.813,0,3.849,2.784,2.483,3.536,3.25,3.954,6.552,3.41,2.042,1.086,0,2.154,0,1.253,2.786,9.129,8.226,2.512,0,0,0.216,4.003,2.388,0,2.808,0,0,2.233,0,1.497,3.725,0,0.697,0,0,5.656,2.649,3.166,3.243,0,11.242,6.548,0.404,0.528,3.622,5.304,3.789,0,1.447,8.284,1.816,3.412,2.408,2.802,3.303,0,3.345,2.369,1.933,0.574,1.294,1.307,0,2.382,0,0,1.022,0,0.728,0.909,1.01,1.353,0,0,0.998,0.452,0,2.358,2.667,1.971,2.479,2.567,-0.063,0.901,0.431,0,1.495,1.645,2.393,1.521,1.52,1.536,1.991,0,0,0.926,0,0,2.646,2.691,1.774,1.085,1.818,0,0.098,0.288,0,0.177,0.321,0.519,0.43,0,0.354,0.417,0.994,0.621,0,0,0,0,0.512,0.565,0,0,0.135,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491368578019999968.sgf,shrewdmous,wbcfree,0,0.074,0.135,0,0.233,0.252,0,0,0.246,0.69,0.369,0.73,0,0.482,0,0.037,0,1.973,0.543,1.305,0,0.091,0,0,0,0,0,0,0,1.113,0.154,0.271,0.081,1.357,0.408,1.655,1.133,0.56,0,3.121,3.261,3.503,3.513,0,6.287,1.679,0.833,0,1.042,3.275,0.279,0,1.545,0,0,0,9.465,1.402,0.686,0,0,0,2.628,0,7.049,0,5.341,12.144,0,0,0,10.743,0,7.293,0,0,0,0.8,2.511,2.933,0,0,2.454,0,1.571,3.742,4.677,3.514,0.062,0,0,1.139,1.334,0.919,1.564,0.023,0,-0.012,0,-0.366,0,1.664,2.728,0.641,3.796,3.878,3.433,2.449,4.156,1.62,1.808,1.993,1.326,2.557,1.67,2.517,1.822,0.818,0,7.171,3.954,4.554,7.841,9.248,8.758,9.658,11.13,0.358,0.47,1.412,5.672,12.502,10.797,1.871,0,-0.14,0,0,-0.329,1.716,3.929,-2.007,0,0,2.569,8.448,9.517,0,0,7.939,0.099,0,0,0,0,9.928,-26.881,0,0,0,0,-2.584,0,2.954,56.531,0,6.961,2.729,4.413,4.492,-3.497,0.449,1.35,2.075,1.73,4.231,2.348,6.127,1.736,0,3.118,0,1.831,3.694,4.24,5.212,2.522,4.675,1.88,1.993,3.002,3.135,3.68,5.64,5.36,4.99,3.656,2.59,3.095,7.536,0,1.667,0,2.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492434484019999290.sgf,lyq清清,我是石泽铭,-0.007,0.052,0.168,0,0.169,0.199,0.249,0.17,0,0,0,0,0,0,0.04,0,0.096,0.114,0.692,0.521,0.123,0.754,0,0.1,0.137,0,0.087,1.93,2.722,0,0,0.573,1.391,0,0.393,1.881,1.333,0,0.56,0.941,1.147,0.593,0,0.904,0,1.123,0.719,0.327,0.131,1.138,1.335,0.608,0.217,0.285,1.128,0.2,0,1.761,0.815,1.813,0,0,0.492,0.058,0.935,0.435,0.726,0,0,1.032,2.125,0,0.724,0.602,3.126,3.535,0.369,0,3.033,0,2.495,0,2.128,0,3.616,0.918,3.826,4.486,3.765,2.565,0,4.508,0,0,0,0,-0.787,0,0,0.858,1.823,3.169,3.8,5.465,0,1.3,0,1.629,0,-0.066,0.26,0,1.2,1.033,3.499,2.089,0,1.005,0.38,0,2.937,3.913,0,0,-0.147,0,2.367,0.776,0,2.011,0.939,0.408,2.292,1.719,0,4.729,5.122,0.104,0.462,0.203,0,3.291,1.102,3.37,3.921,0,1.282,0,8.081,-0.34,9.456,0,0,14.353,8.483,1.587,0,0,2.752,0,-0.303,0,0,4.179,14.675,28.527,0,1.412,-2.665,4.163,0,2.379,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
